X,Y,Z,formation,group,type,ref_fault3,ref_fault4
454564.4,6782281,-5506.7534,fault3,fault3,fault,nan,nan
454666.88,6782183,-5638.475,fault3,fault3,fault,nan,nan
454579.56,6782074,-5627.645,fault3,fault3,fault,nan,nan
454822.47,6782177.5,-5737.794,fault3,fault3,fault,nan,nan
454961.47,6782067.5,-5801.1367,fault3,fault3,fault,nan,nan
454338.4,6782244,-5376.1533,fault3,fault3,fault,nan,nan
455007.6,6782303,-5799.7114,fault3,fault3,fault,nan,nan
455298.78,6782241,-5997.9233,fault3,fault3,fault,nan,nan
454820.88,6782277,-5688.905,fault3,fault3,fault,nan,nan
454233.06,6782707,-5409.957,fault3,fault3,fault,nan,nan
454443.16,6782394,-5507.841,fault3,fault3,fault,nan,nan
454598.1,6782482,-5659.863,fault3,fault3,fault,nan,nan
454632.16,6782379,-5681.564,fault3,fault3,fault,nan,nan
454915.44,6782383,-5808.056,fault3,fault3,fault,nan,nan
454803.4,6782382.5,-5835.7207,fault3,fault3,fault,nan,nan
454647.88,6782637.5,-5608.7065,fault3,fault3,fault,nan,nan
454915.2,6782498,-5798.543,fault3,fault3,fault,nan,nan
454746.47,6782549.5,-5675.5166,fault3,fault3,fault,nan,nan
455282.47,6782688,-6193.331,fault3,fault3,fault,nan,nan
454611.44,6782867,-5498.267,fault3,fault3,fault,nan,nan
454936.5,6782729.5,-5794.6543,fault3,fault3,fault,nan,nan
455123.8,6782847,-5925.7314,fault3,fault3,fault,nan,nan
454385.62,6783044,-5468.2466,fault3,fault3,fault,nan,nan
454562.5,6783137,-5585.762,fault3,fault3,fault,nan,nan
454924.3,6782926,-5711.4897,fault3,fault3,fault,nan,nan
455141.78,6782995.5,-5946.782,fault3,fault3,fault,nan,nan
454053.7,6783334,-5469.032,fault3,fault3,fault,nan,nan
454248.44,6783115,-5522.712,fault3,fault3,fault,nan,nan
454813.53,6783063,-5689.5215,fault3,fault3,fault,nan,nan
454413.97,6783275,-5756.4873,fault3,fault3,fault,nan,nan
455063.12,6783121,-6032.0254,fault3,fault3,fault,nan,nan
454881.25,6783184.5,-5916.4873,fault3,fault3,fault,nan,nan
454360,6783361.5,-5692.652,fault3,fault3,fault,nan,nan
